Linear (positive slope),extreme hook,moderate hook,Egyptian,opposite hook,,Witches hat,Uncategorizable,Flat,,moderate hump (hook more toward center),Egyptian(R),extreme hook,Linear (negative slope)
109,183,263,99,289,,7,149,190,,20,151,48,83
206,168,173,267,275,,187,266,114,,130,9,90,85
212,299,230,202,284,,157,295,81,,79,44,89,78
106,186,232,41,249,,297,,69,,24,63,8,271
116,223,166,126,270,,220,,264,,185,72,97,276
76,218,49,120,192,,269,,58,,10,145,28,103
96,139,203,216,279,,47,,277,,123,14,133,68
236,152,11,179,273,,291,,278,,18,60,95,73
101,204,56,159,201,,217,,247,,132,40,134,74
86,165,51,158,197,,181,,148,,252,45,170,110
61,1,288,259,226,,54,,127,,3,286,176,59
6,234,46,242,162,,293,,,,62,67,42,75
66,121,26,211,231,,238,,,,13,38,43,65
71,233,283,191,164,,260,,,,12,115,64,113
91,180,224,239,111,,21,,,,219,50,39,118
188,193,235,131,,,213,,,,225,77,167,100
175,194,,161,,,228,,,,292,108,32,102
119,294,,245,,,17,,,,,55,34,87
300,290,,254,,,141,,,,,35,140,92
160,282,,255,,,240,,,,,143,52,104
169,272,,287,,,268,,,,,2,147,80
,210,,265,,,205,,,,,155,124,177
,,,285,,,298,,,,,5,19,82
,,,196,,,296,,,,,261,27,98
,,,229,,,93,,,,,128,22,107
,,,274,,,37,,,,,112,117,251
,,,189,,,171,,,,,84,57,
,,,198,,,184,,,,,156,30,
,,,199,,,241,,,,,122,4,
,,,227,,,250,,,,,125,281,
,,,36,,,33,,,,,246,135,
,,,237,,,248,,,,,105,154,
,,,31,,,207,,,,,200,153,
,,,16,,,244,,,,,280,15,
,,,222,,,243,,,,,253,23,
,,,146,,,129,,,,,53,29,
,,,136,,,174,,,,,70,25,
,,,209,,,195,,,,,137,94,
,,,142,,,215,,,,,,221,
,,,208,,,163,,,,,,,
,,,172,,,262,,,,,,,
,,,144,,,256,,,,,,,
,,,88,,,257,,,,,,,
,,,150,,,182,,,,,,,
,,,178,,,138,,,,,,,
,,,258,,,214,,,,,,,
